Date;Price
30-06-2005;2513.595
29-07-2005;2601.399
31-08-2005;2621.001
30-09-2005;2689.078
31-10-2005;2623.838
30-11-2005;2711.263
30-12-2005;2771.330
31-01-2006;2895.079
28-02-2006;2890.769
31-03-2006;2954.334
28-04-2006;3044.030
31-05-2006;2940.049
30-06-2006;2939.187
31-07-2006;2957.530
31-08-2006;3034.299
29-09-2006;3070.479
31-10-2006;3183.174
30-11-2006;3261.124
29-12-2006;3327.426
31-01-2007;3366.707
28-02-2007;3349.188
30-03-2007;3410.496
30-04-2007;3560.905
31-05-2007;3660.680
29-06-2007;3632.444
31-07-2007;3551.998
31-08-2007;3549.304
28-09-2007;3718.092
31-10-2007;3832.132
30-11-2007;3675.491
31-12-2007;3628.072
31-01-2008;3350.817
29-02-2008;3331.423
31-03-2008;3299.491
30-04-2008;3472.905
30-05-2008;3525.861
30-06-2008;3244.649
31-07-2008;3165.368
29-08-2008;3120.905
30-09-2008;2749.711
31-10-2008;2228.363
28-11-2008;2084.124
31-12-2008;2150.990
30-01-2009;1962.551
27-02-2009;1761.666
31-03-2009;1894.511
30-04-2009;2107.036
29-05-2009;2297.946
30-06-2009;2287.579
31-07-2009;2481.330
31-08-2009;2583.697
30-09-2009;2686.679
30-10-2009;2638.880
30-11-2009;2746.712
31-12-2009;2796.035
29-01-2010;2680.472
26-02-2010;2718.258
31-03-2010;2886.601
30-04-2010;2887.006
31-05-2010;2610.465
30-06-2010;2520.962
30-07-2010;2725.344
31-08-2010;2623.593
30-09-2010;2868.232
29-10-2010;2975.147
30-11-2010;2910.915
31-12-2010;3124.941
31-01-2011;3195.539
28-02-2011;3307.424
31-03-2011;3274.807
29-04-2011;3413.929
31-05-2011;3343.106
30-06-2011;3290.219
29-07-2011;3230.560
31-08-2011;3002.944
30-09-2011;2743.578
31-10-2011;3027.365
30-11-2011;2953.450
30-12-2011;2951.809
31-01-2012;3099.940
29-02-2012;3251.368
30-03-2012;3293.169
30-04-2012;3255.772
31-05-2012;2974.721
29-06-2012;3126.299
31-07-2012;3166.489
31-08-2012;3246.765
28-09-2012;3335.965
31-10-2012;3313.422
30-11-2012;3355.850
31-12-2012;3418.961
31-01-2013;3593.121
28-02-2013;3599.054
29-03-2013;3683.356
30-04-2013;3799.348
31-05-2013;3800.783
28-06-2013;3707.130
31-07-2013;3902.295
30-08-2013;3819.235
30-09-2013;4010.245
31-10-2013;4167.220
29-11-2013;4241.278
31-12-2013;4331.022
31-01-2014;4170.608
28-02-2014;4379.393
31-03-2014;4385.731
30-04-2014;4430.671
30-05-2014;4517.844
30-06-2014;4598.664
31-07-2014;4525.273
29-08-2014;4624.988
30-09-2014;4499.461
31-10-2014;4528.568
28-11-2014;4619.324
31-12-2014;4544.837
30-01-2015;4462.486
27-02-2015;4723.937
31-03-2015;4649.991
30-04-2015;4759.045
29-05-2015;4775.439
30-06-2015;4664.399
31-07-2015;4748.125
31-08-2015;4433.920
30-09-2015;4270.377
30-10-2015;4608.780
30-11-2015;4585.848
31-12-2015;4505.241
29-01-2016;4235.718
29-02-2016;4204.194
31-03-2016;4489.486
29-04-2016;4560.526
31-05-2016;4586.140
30-06-2016;4534.751
29-07-2016;4726.337
31-08-2016;4730.265
30-09-2016;4755.392
31-10-2016;4663.361
30-11-2016;4730.416
30-12-2016;4843.607
31-01-2017;4960.508
28-02-2017;5098.130
31-03-2017;5152.435
28-04-2017;5228.726
31-05-2017;5339.337
30-06-2017;5359.880
31-07-2017;5488.155
31-08-2017;5495.883
29-09-2017;5619.234
31-10-2017;5725.429
30-11-2017;5849.485
29-12-2017;5928.591
31-01-2018;6241.621
28-02-2018;5983.047
30-03-2018;5852.638
30-04-2018;5919.891
31-05-2018;5956.988
29-06-2018;5954.146
31-07-2018;6140.115
31-08-2018;6216.086
28-09-2018;6250.698
31-10-2018;5791.723
30-11-2018;5857.516
31-12-2018;5412.122
31-01-2019;5833.217
28-02-2019;6008.621
29-03-2019;6087.541
30-04-2019;6303.401
31-05-2019;5939.689
28-06-2019;6331.084
31-07-2019;6362.444
30-08-2019;6232.303
30-09-2019;6364.933
